waves,dil_fact
4000.0,0.06846482774721875
4102.040816326531,0.04169700108212084
4204.081632653061,0.07681246636911533
4306.122448979592,0.06483065571993614
4408.163265306122,0.034146963174286206
4510.2040816326535,0.023260718357494374
4612.244897959184,0.021634978295762934
4714.285714285715,0.01831473798364649
4816.326530612245,0.016482718781281578
4918.367346938776,0.016565576171635562
5020.408163265306,0.015155146007405081
5122.448979591837,0.016726701456509233
5224.489795918367,0.01293229889339949
5326.530612244898,0.020525817773702323
5428.571428571428,0.010461963301101926
5530.6122448979595,0.010203604834475254
5632.65306122449,0.008776796395872111
5734.693877551021,0.008315072355366314
5836.734693877551,0.009018875300273017
5938.775510204082,0.007313209332690698
6040.816326530612,0.006892481438030924
6142.857142857143,0.007001655928161711
6244.897959183674,0.006780412536952979
6346.938775510204,0.006058239272848198
6448.9795918367345,0.005761664467475694
6551.0204081632655,0.00516009264040075
6653.061224489797,0.005202740719297641
6755.102040816327,0.005346142990249805
6857.142857142857,0.005098877269620096
6959.183673469388,0.0048738189410773925
7061.224489795919,0.004457559429630179
7163.265306122449,0.0042544988430150785
7265.306122448979,0.004109029875007224
7367.34693877551,0.003943814110967865
7469.387755102041,0.00380066007176213
7571.428571428572,0.004123734924621429
7673.469387755102,0.003528255530244554
7775.510204081633,0.0033903154053094037
7877.551020408164,0.0034261976030411185
7979.591836734694,0.003186518628980393
8081.632653061224,0.003081759566578261
8183.673469387755,0.0034477459700269974
8285.714285714286,0.0028899395634356885
8387.755102040817,0.0029081661627050172
8489.795918367348,0.002866924807107421
8591.836734693878,0.0026801834734730585
8693.877551020409,0.002684553142087172
8795.918367346938,0.0031878147706545434
8897.959183673469,0.0024220373753026576
9000.0,0.0024376672407126505
